x0,top,text,size,fontname
33.7,26.9,N,18.0,BCDEEE+Arial-BoldMT
46.7,26.9,i,18.0,BCDEEE+Arial-BoldMT
51.7,26.9,t,18.0,BCDEEE+Arial-BoldMT
57.7,26.9,i,18.0,BCDEEE+Arial-BoldMT
62.7,26.9,n,18.0,BCDEEE+Arial-BoldMT
73.8,26.9, ,18.0,BCDEEE+Arial-BoldMT
78.9,26.9,K,18.0,BCDEEE+Arial-BoldMT
91.9,26.9,u,18.0,BCDEEE+Arial-BoldMT
102.9,26.9,m,18.0,BCDEEE+Arial-BoldMT
118.9,26.9,a,18.0,BCDEEE+Arial-BoldMT
128.8,26.9,r,18.0,BCDEEE+Arial-BoldMT
135.7,26.9, ,18.0,BCDEEE+Arial-BoldMT
33.6,47.7,L,10.0,BCDFEE+ArialMT
39.1,47.7,i,10.0,BCDFEE+ArialMT
41.3,47.7,n,10.0,BCDFEE+ArialMT
46.8,47.7,k,10.0,BCDFEE+ArialMT
51.8,47.7,e,10.0,BCDFEE+ArialMT
57.5,47.7,d,10.0,BCDFEE+ArialMT
63.0,47.7,I,10.0,BCDFEE+ArialMT
65.8,47.7,n,10.0,BCDFEE+ArialMT
71.3,47.7,:,10.0,BCDFEE+ArialMT
74.1,47.7, ,10.0,BCDFEE+ArialMT
76.9,47.7,n,10.0,BCDFEE+ArialMT
82.5,47.7,i,10.0,BCDFEE+ArialMT
84.6,47.7,t,10.0,BCDFEE+ArialMT
87.5,47.7,i,10.0,BCDFEE+ArialMT
89.7,47.7,n,10.0,BCDFEE+ArialMT
95.2,47.7,s,10.0,BCDFEE+ArialMT
100.2,47.7,i,10.0,BCDFEE+ArialMT
102.5,47.7,n,10.0,BCDFEE+ArialMT
108.0,47.7,g,10.0,BCDFEE+ArialMT
113.6,47.7,h,10.0,BCDFEE+ArialMT
119.2,47.7,9,10.0,BCDFEE+ArialMT
124.7,47.7,5,10.0,BCDFEE+ArialMT
130.3,47.7,5,10.0,BCDFEE+ArialMT
135.8,47.7,0,10.0,BCDFEE+ArialMT
141.5,47.7, ,10.0,BCDFEE+ArialMT
372.2,47.7,E,10.0,BCDFEE+ArialMT
378.8,47.7,m,10.0,BCDFEE+ArialMT
387.1,47.7,a,10.0,BCDFEE+ArialMT
392.7,47.7,i,10.0,BCDFEE+ArialMT
394.9,47.7,l,10.0,BCDFEE+ArialMT
397.1,47.7,:,10.0,BCDFEE+ArialMT
399.9,47.7, ,10.0,BCDFEE+ArialMT
402.7,47.7,n,10.0,BCDFEE+ArialMT
408.3,47.7,i,10.0,BCDFEE+ArialMT
410.5,47.7,t,10.0,BCDFEE+ArialMT
413.2,47.7,i,10.0,BCDFEE+ArialMT
415.5,47.7,n,10.0,BCDFEE+ArialMT
421.0,47.7,s,10.0,BCDFEE+ArialMT
426.0,47.7,i,10.0,BCDFEE+ArialMT
428.2,47.7,n,10.0,BCDFEE+ArialMT
433.7,47.7,g,10.0,BCDFEE+ArialMT
439.3,47.7,h,10.0,BCDFEE+ArialMT
444.9,47.7,6,10.0,BCDFEE+ArialMT
450.5,47.7,2,10.0,BCDFEE+ArialMT
456.0,47.7,0,10.0,BCDFEE+ArialMT
461.5,47.7,7,10.0,BCDFEE+ArialMT
467.2,47.7,8,10.0,BCDFEE+ArialMT
472.7,47.7,1,10.0,BCDFEE+ArialMT
478.2,47.7,6,10.0,BCDFEE+ArialMT
483.8,47.7,2,10.0,BCDFEE+ArialMT
489.4,47.7,8,10.0,BCDFEE+ArialMT
495.0,47.7,3,10.0,BCDFEE+ArialMT
500.5,47.7,@,10.0,BCDFEE+ArialMT
510.7,47.7,g,10.0,BCDFEE+ArialMT
516.2,47.7,m,10.0,BCDFEE+ArialMT
524.5,47.7,a,10.0,BCDFEE+ArialMT
530.1,47.7,i,10.0,BCDFEE+ArialMT
532.3,47.7,l,10.0,BCDFEE+ArialMT
534.5,47.7,.,10.0,BCDFEE+ArialMT
537.3,47.7,c,10.0,BCDFEE+ArialMT
542.3,47.7,o,10.0,BCDFEE+ArialMT
547.9,47.7,m,10.0,BCDFEE+ArialMT
556.4,47.7, ,10.0,BCDFEE+ArialMT
33.6,62.6,G,10.0,BCDFEE+ArialMT
41.4,62.6,i,10.0,BCDFEE+ArialMT
43.6,62.6,t,10.0,BCDFEE+ArialMT
46.3,62.6,H,10.0,BCDFEE+ArialMT
53.5,62.6,u,10.0,BCDFEE+ArialMT
59.0,62.6,b,10.0,BCDFEE+ArialMT
64.7,62.6,:,10.0,BCDFEE+ArialMT
67.5,62.6, ,10.0,BCDFEE+ArialMT
70.2,62.6,N,10.0,BCDFEE+ArialMT
77.4,62.6,i,10.0,BCDFEE+ArialMT
79.7,62.6,t,10.0,BCDFEE+ArialMT
82.5,62.6,i,10.0,BCDFEE+ArialMT
84.6,62.6,n,10.0,BCDFEE+ArialMT
90.2,62.6,s,10.0,BCDFEE+ArialMT
95.3,62.6,i,10.0,BCDFEE+ArialMT
97.4,62.6,n,10.0,BCDFEE+ArialMT
103.0,62.6,g,10.0,BCDFEE+ArialMT
108.6,62.6,h,10.0,BCDFEE+ArialMT
114.1,62.6,7,10.0,BCDFEE+ArialMT
119.6,62.6,6,10.0,BCDFEE+ArialMT
125.3,62.6,4,10.0,BCDFEE+ArialMT
130.8,62.6,3,10.0,BCDFEE+ArialMT
136.5,62.6, ,10.0,BCDFEE+ArialMT
373.4,62.6,M,10.0,BCDFEE+ArialMT
381.7,62.6,o,10.0,BCDFEE+ArialMT
387.2,62.6,b,10.0,BCDFEE+ArialMT
392.8,62.6,i,10.0,BCDFEE+ArialMT
395.0,62.6,l,10.0,BCDFEE+ArialMT
397.3,62.6,e,10.0,BCDFEE+ArialMT
402.8,62.6,:,10.0,BCDFEE+ArialMT
405.6,62.6, ,10.0,BCDFEE+ArialMT
408.7,62.6,+,10.0,BCDFEE+ArialMT
414.6,62.6,9,10.0,BCDFEE+ArialMT
420.1,62.6,1,10.0,BCDFEE+ArialMT
425.6,62.6, ,10.0,BCDFEE+ArialMT
427.9,62.6,7,10.0,BCDFEE+ArialMT
433.3,62.6,6,10.0,BCDFEE+ArialMT
438.8,62.6,4,10.0,BCDFEE+ArialMT
444.2,62.6,3,10.0,BCDFEE+ArialMT
449.8,62.6,2,10.0,BCDFEE+ArialMT
455.1,62.6,9,10.0,BCDFEE+ArialMT
460.7,62.6,5,10.0,BCDFEE+ArialMT
466.0,62.6,5,10.0,BCDFEE+ArialMT
471.6,62.6,0,10.0,BCDFEE+ArialMT
477.1,62.6, ,10.0,BCDFEE+ArialMT
33.6,82.2,S,12.0,BCDFEE+ArialMT
42.2,84.2,K,9.5,BCDFEE+ArialMT
49.1,84.2,I,9.5,BCDFEE+ArialMT
52.0,84.2,L,9.5,BCDFEE+ArialMT
57.6,84.2,L,9.5,BCDFEE+ArialMT
63.2,84.2,S,9.5,BCDFEE+ArialMT
70.2,82.2, ,12.0,BCDFEE+ArialMT
